	HAU.prot	JGIv1.prot	JGIv2.prot	Total
OG0000430	12	6	4	22
OG0000431	7	9	6	22
OG0000432	13	7	2	22
OG0000433	7	8	7	22
OG0000434	3	6	13	22
OG0000435	12	6	4	22
OG0000436	10	10	2	22
OG0000437	7	7	8	22
OG0000438	5	12	5	22
OG0000439	0	9	13	22
OG0000440	6	8	7	21
OG0000441	6	10	5	21
OG0000442	9	8	4	21
OG0000443	9	8	4	21
OG0000444	6	9	6	21
OG0000445	6	8	7	21
OG0000446	5	8	8	21
OG0000447	9	6	6	21
OG0000448	13	6	2	21
OG0000449	8	7	6	21
OG0000450	8	9	4	21
OG0000451	6	8	7	21
OG0000452	6	8	7	21
OG0000453	20	0	1	21
OG0000454	6	8	7	21
OG0000455	6	7	8	21
OG0000456	7	9	5	21
OG0000457	10	10	1	21
OG0000458	8	9	4	21
OG0000459	8	9	4	21
OG0000460	7	8	6	21
OG0000461	5	10	6	21
OG0000462	6	8	7	21
OG0000463	9	8	4	21
OG0000464	7	10	4	21
OG0000465	11	8	2	21
OG0000466	7	10	4	21
OG0000467	5	9	7	21
OG0000468	6	11	4	21
OG0000469	4	9	8	21
OG0000470	7	8	6	21
OG0000471	8	11	2	21
OG0000472	5	10	6	21
OG0000473	6	9	6	21
OG0000474	4	14	3	21
OG0000475	7	8	6	21
OG0000476	7	8	6	21
OG0000477	9	6	6	21
OG0000478	10	7	4	21
OG0000479	4	10	7	21
OG0000480	4	13	4	21
OG0000481	7	7	7	21
OG0000482	7	10	4	21
OG0000483	6	9	6	21
OG0000484	8	7	6	21
OG0000485	11	8	2	21
OG0000486	8	11	2	21
OG0000487	5	12	4	21
OG0000488	12	7	2	21
OG0000489	11	6	4	21
OG0000490	5	9	7	21
OG0000491	3	0	18	21
OG0000492	17	2	2	21
OG0000493	10	7	4	21
OG0000494	8	7	6	21
OG0000495	7	9	5	21
OG0000496	6	9	6	21
OG0000497	8	7	6	21
OG0000498	7	8	6	21
OG0000499	11	8	2	21
OG0000500	6	9	6	21
OG0000501	10	9	2	21
OG0000502	6	9	6	21
OG0000503	5	8	8	21
OG0000504	11	8	2	21
OG0000505	10	7	4	21
OG0000506	4	15	2	21
OG0000507	12	7	2	21
OG0000508	2	17	2	21
OG0000509	8	8	5	21
OG0000510	6	9	6	21
OG0000511	12	7	2	21
OG0000512	10	7	4	21
OG0000513	10	9	2	21
OG0000514	5	8	8	21
OG0000515	20	0	1	21
OG0000516	6	13	2	21
OG0000517	7	10	4	21
OG0000518	11	8	2	21
OG0000519	4	11	6	21
OG0000520	9	8	4	21
OG0000521	5	12	4	21
OG0000522	7	12	2	21
OG0000523	7	12	2	21
OG0000524	9	9	2	20
OG0000525	5	9	6	20
OG0000526	4	9	7	20
OG0000527	7	9	4	20
OG0000528	7	7	6	20
OG0000529	6	7	7	20
OG0000530	7	7	6	20
OG0000531	5	11	4	20
OG0000532	7	9	4	20
OG0000533	7	7	6	20
OG0000534	7	7	6	20
OG0000535	8	6	6	20
OG0000536	7	7	6	20
OG0000537	9	9	2	20
OG0000538	7	7	6	20
OG0000539	10	6	4	20
OG0000540	6	7	7	20
OG0000541	6	8	6	20
OG0000542	7	11	2	20
OG0000543	5	8	7	20
OG0000544	7	6	7	20
OG0000545	7	7	6	20
OG0000546	13	0	7	20
OG0000547	8	8	4	20
OG0000548	10	8	2	20
OG0000549	11	5	4	20
OG0000550	6	8	6	20
OG0000551	13	3	4	20
OG0000552	8	6	6	20
OG0000553	10	7	3	20
OG0000554	6	7	7	20
OG0000555	12	6	2	20
OG0000556	6	7	7	20
OG0000557	9	10	1	20
OG0000558	6	7	7	20
OG0000559	7	7	6	20
OG0000560	6	7	7	20
OG0000561	4	8	8	20
OG0000562	7	7	6	20
OG0000563	10	9	1	20
OG0000564	8	6	6	20
OG0000565	7	11	2	20
OG0000566	12	6	2	20
OG0000567	7	7	6	20
OG0000568	4	12	4	20
OG0000569	6	7	7	20
OG0000570	7	9	4	20
OG0000571	10	6	4	20
OG0000572	7	7	6	20
OG0000573	10	8	2	20
OG0000574	9	9	2	20
OG0000575	12	6	2	20
OG0000576	6	6	8	20
OG0000577	5	3	12	20
OG0000578	14	4	2	20
OG0000579	8	6	6	20
OG0000580	8	8	4	20
OG0000581	8	6	6	20
OG0000582	5	9	6	20
OG0000583	11	7	2	20
OG0000584	8	10	2	20
OG0000585	8	10	2	20
OG0000586	5	13	2	20
OG0000587	16	3	1	20
OG0000588	6	9	5	20
OG0000589	10	8	2	20
OG0000590	8	6	6	20
OG0000591	14	4	2	20
OG0000592	12	6	2	20
OG0000593	5	9	6	20
OG0000594	8	10	2	20
OG0000595	13	5	2	20
OG0000596	7	11	2	20
OG0000597	12	6	2	20
OG0000598	9	9	2	20
OG0000599	6	12	2	20
OG0000600	5	7	7	19
OG0000601	4	11	4	19
OG0000602	6	7	6	19
OG0000603	6	7	6	19
OG0000604	11	6	2	19
OG0000605	8	8	3	19
OG0000606	5	8	6	19
OG0000607	17	1	1	19
OG0000608	5	7	7	19
OG0000609	6	7	6	19
OG0000610	7	8	4	19
OG0000611	5	12	2	19
OG0000612	7	6	6	19
OG0000613	6	9	4	19
OG0000614	11	6	2	19
OG0000615	5	8	6	19
OG0000616	7	11	1	19
OG0000617	7	8	4	19
OG0000618	8	5	6	19
OG0000619	7	6	6	19
OG0000620	6	7	6	19
OG0000621	6	7	6	19
OG0000622	7	8	4	19
OG0000623	8	6	5	19
OG0000624	8	5	6	19
OG0000625	15	1	3	19
OG0000626	6	7	6	19
OG0000627	9	6	4	19
OG0000628	3	12	4	19
OG0000629	5	8	6	19
OG0000630	10	8	1	19
OG0000631	5	10	4	19
OG0000632	5	10	4	19
OG0000633	10	7	2	19
OG0000634	1	6	12	19
OG0000635	4	8	7	19
OG0000636	4	9	6	19
OG0000637	8	6	5	19
OG0000638	5	8	6	19
OG0000639	10	9	0	19
OG0000640	8	7	4	19
OG0000641	12	5	2	19
OG0000642	11	6	2	19
OG0000643	5	8	6	19
OG0000644	6	9	4	19
OG0000645	5	10	4	19
OG0000646	5	8	6	19
OG0000647	5	6	8	19
OG0000648	15	1	3	19
OG0000649	9	6	4	19
OG0000650	6	7	6	19
OG0000651	5	8	6	19
OG0000652	7	8	4	19
OG0000653	4	11	4	19
OG0000654	3	10	6	19
OG0000655	9	8	2	19
OG0000656	6	9	4	19
OG0000657	10	7	2	19
OG0000658	10	5	4	19
OG0000659	7	8	4	19
OG0000660	5	10	4	19
OG0000661	7	8	4	19
OG0000662	7	7	5	19
OG0000663	12	5	2	19
OG0000664	7	10	2	19
OG0000665	11	6	2	19
OG0000666	2	15	2	19
OG0000667	6	7	6	19
OG0000668	7	8	4	19
OG0000669	6	7	6	19
OG0000670	7	6	6	19
OG0000671	13	4	2	19
OG0000672	10	5	4	19
OG0000673	8	7	4	19
OG0000674	4	2	13	19
OG0000675	7	6	6	19
OG0000676	5	12	2	19
OG0000677	8	6	5	19
OG0000678	9	6	4	19
OG0000679	7	6	6	19
OG0000680	8	9	2	19
OG0000681	6	9	4	19
OG0000682	4	11	4	19
OG0000683	7	8	4	19
OG0000684	6	2	11	19
OG0000685	8	9	2	19
OG0000686	7	6	6	19
OG0000687	7	7	5	19
OG0000688	8	7	4	19
OG0000689	8	7	4	19
OG0000690	6	8	5	19
OG0000691	7	6	6	19
OG0000692	5	8	6	19
OG0000693	11	4	4	19
OG0000694	8	9	2	19
OG0000695	6	7	6	19
OG0000696	6	9	4	19
OG0000697	17	1	1	19
OG0000698	5	12	2	19
OG0000699	10	7	2	19
OG0000700	7	7	5	19
OG0000701	4	14	1	19
OG0000702	6	11	2	19
OG0000703	3	1	15	19
OG0000704	1	11	7	19
OG0000705	5	10	3	18
OG0000706	8	6	4	18
OG0000707	4	8	6	18
OG0000708	5	7	6	18
OG0000709	6	6	6	18
OG0000710	5	7	6	18
OG0000711	6	6	6	18
OG0000712	6	6	6	18
OG0000713	5	7	6	18
OG0000714	6	6	6	18
OG0000715	6	6	6	18
OG0000716	11	3	4	18
OG0000717	6	6	6	18
OG0000718	6	6	6	18
OG0000719	10	6	2	18
OG0000720	8	8	2	18
OG0000721	10	6	2	18
OG0000722	6	6	6	18
OG0000723	5	8	5	18
OG0000724	6	6	6	18
OG0000725	7	9	2	18
OG0000726	5	7	6	18
OG0000727	4	7	7	18
OG0000728	11	5	2	18
OG0000729	5	9	4	18
OG0000730	6	6	6	18
OG0000731	5	7	6	18
OG0000732	7	9	2	18
OG0000733	6	6	6	18
OG0000734	8	4	6	18
OG0000735	5	7	6	18
OG0000736	8	5	5	18
OG0000737	7	9	2	18
OG0000738	5	7	6	18
OG0000739	7	7	4	18
OG0000740	7	9	2	18
OG0000741	5	7	6	18
OG0000742	7	9	2	18
OG0000743	7	6	5	18
OG0000744	5	7	6	18
OG0000745	7	9	2	18
OG0000746	6	6	6	18
OG0000747	4	10	4	18
OG0000748	6	8	4	18
OG0000749	8	5	5	18
OG0000750	6	6	6	18
OG0000751	8	6	4	18
OG0000752	12	4	2	18
OG0000753	9	5	4	18
OG0000754	4	10	4	18
OG0000755	3	11	4	18
OG0000756	11	7	0	18
OG0000757	3	10	5	18
OG0000758	5	7	6	18
OG0000759	6	6	6	18
OG0000760	5	9	4	18
OG0000761	17	0	1	18
OG0000762	6	6	6	18
OG0000763	8	8	2	18
OG0000764	5	7	6	18
OG0000765	12	4	2	18
OG0000766	6	6	6	18
OG0000767	5	7	6	18
OG0000768	8	6	4	18
OG0000769	6	8	4	18
OG0000770	7	7	4	18
OG0000771	6	8	4	18
OG0000772	6	10	2	18
OG0000773	10	6	2	18
OG0000774	10	6	2	18
OG0000775	8	8	2	18
OG0000776	10	6	2	18
OG0000777	8	6	4	18
OG0000778	7	9	2	18
OG0000779	9	5	4	18
OG0000780	7	7	4	18
OG0000781	8	5	5	18
OG0000782	11	5	2	18
OG0000783	5	7	6	18
OG0000784	6	6	6	18
OG0000785	8	6	4	18
OG0000786	8	7	3	18
OG0000787	9	5	4	18
OG0000788	7	9	2	18
OG0000789	7	7	4	18
OG0000790	1	1	16	18
OG0000791	7	9	2	18
OG0000792	6	7	5	18
OG0000793	4	10	4	18
OG0000794	6	8	4	18
OG0000795	6	10	2	18
OG0000796	5	9	4	18
OG0000797	6	6	6	18
OG0000798	5	8	5	18
OG0000799	9	7	2	18
OG0000800	6	7	5	18
OG0000801	9	7	2	18
OG0000802	5	7	6	18
OG0000803	6	6	6	18
OG0000804	7	7	4	18
OG0000805	5	7	6	18
OG0000806	6	6	6	18
OG0000807	6	8	4	18
OG0000808	8	8	2	18
OG0000809	11	4	3	18
OG0000810	5	7	6	18
OG0000811	10	6	2	18
OG0000812	8	6	4	18
OG0000813	6	6	6	18
OG0000814	6	6	6	18
OG0000815	4	7	7	18
OG0000816	6	9	3	18
OG0000817	5	9	4	18
OG0000818	4	8	6	18
OG0000819	6	10	2	18
OG0000820	7	9	2	18
OG0000821	9	7	2	18
OG0000822	5	6	7	18
OG0000823	6	8	4	18
OG0000824	9	7	2	18
OG0000825	8	8	2	18
OG0000826	12	5	1	18
OG0000827	8	6	4	18
OG0000828	15	1	2	18
OG0000829	3	11	4	18
OG0000830	9	7	2	18
OG0000831	11	5	2	18
OG0000832	6	9	3	18
OG0000833	5	7	6	18
OG0000834	6	8	4	18
OG0000835	4	10	4	18
OG0000836	8	6	4	18
OG0000837	8	8	2	18
OG0000838	6	8	4	18
OG0000839	4	10	4	18
OG0000840	5	7	6	18
OG0000841	5	11	2	18
OG0000842	2	15	1	18
OG0000843	10	7	1	18
OG0000844	6	4	8	18
OG0000845	9	7	2	18
OG0000846	6	5	7	18
OG0000847	7	7	4	18
OG0000848	2	11	5	18
OG0000849	2	14	2	18
OG0000850	6	8	4	18
OG0000851	17	0	1	18
OG0000852	8	8	2	18
OG0000853	2	7	9	18
OG0000854	4	7	6	17
OG0000855	5	6	6	17
OG0000856	4	7	6	17
OG0000857	5	6	6	17
OG0000858	6	7	4	17
OG0000859	13	2	2	17
OG0000860	7	6	4	17
OG0000861	2	0	15	17
OG0000862	5	6	6	17
OG0000863	9	6	2	17
OG0000864	5	6	6	17
OG0000865	5	6	6	17
OG0000866	7	7	3	17
OG0000867	5	6	6	17
OG0000868	6	5	6	17
OG0000869	6	9	2	17
OG0000870	4	8	5	17
OG0000871	5	6	6	17
OG0000872	4	7	6	17
OG0000873	6	5	6	17
OG0000874	4	7	6	17
OG0000875	14	1	2	17
OG0000876	5	6	6	17
OG0000877	10	5	2	17
OG0000878	7	6	4	17
OG0000879	6	5	6	17
OG0000880	13	2	2	17
OG0000881	5	6	6	17
OG0000882	5	8	4	17
OG0000883	6	5	6	17
OG0000884	5	10	2	17
OG0000885	7	8	2	17
OG0000886	5	6	6	17
OG0000887	9	6	2	17
OG0000888	5	8	4	17
OG0000889	4	9	4	17
OG0000890	7	9	1	17
OG0000891	6	5	6	17
OG0000892	7	8	2	17
OG0000893	7	8	2	17
OG0000894	3	10	4	17
OG0000895	13	2	2	17
OG0000896	7	6	4	17
OG0000897	14	2	1	17
OG0000898	4	7	6	17
OG0000899	6	4	7	17
OG0000900	3	10	4	17
OG0000901	1	1	15	17
OG0000902	5	6	6	17
OG0000903	9	6	2	17
OG0000904	6	7	4	17
OG0000905	5	7	5	17
OG0000906	8	5	4	17
OG0000907	5	10	2	17
OG0000908	7	6	4	17
OG0000909	4	11	2	17
OG0000910	6	7	4	17
OG0000911	9	6	2	17
OG0000912	5	6	6	17
OG0000913	8	5	4	17
OG0000914	6	7	4	17
OG0000915	7	6	4	17
OG0000916	7	9	1	17
OG0000917	5	10	2	17
OG0000918	11	4	2	17
OG0000919	6	5	6	17
OG0000920	4	9	4	17
OG0000921	5	6	6	17
OG0000922	5	6	6	17
OG0000923	6	7	4	17
OG0000924	2	13	2	17
OG0000925	7	8	2	17
OG0000926	8	7	2	17
OG0000927	7	8	2	17
OG0000928	6	9	2	17
OG0000929	2	13	2	17
OG0000930	7	8	2	17
OG0000931	10	5	2	17
OG0000932	5	6	6	17
OG0000933	5	6	6	17
OG0000934	7	6	4	17
OG0000935	4	7	6	17
OG0000936	3	8	6	17
OG0000937	11	4	2	17
OG0000938	4	10	3	17
OG0000939	4	9	4	17
OG0000940	4	7	6	17
OG0000941	9	4	4	17
OG0000942	8	7	2	17
OG0000943	6	6	5	17
OG0000944	4	9	4	17
OG0000945	9	6	2	17
OG0000946	12	3	2	17
OG0000947	6	7	4	17
OG0000948	6	9	2	17
OG0000949	6	7	4	17
OG0000950	5	6	6	17
OG0000951	5	6	6	17
OG0000952	7	6	4	17
OG0000953	7	6	4	17
OG0000954	4	11	2	17
OG0000955	9	6	2	17
OG0000956	8	5	4	17
OG0000957	8	5	4	17
OG0000958	9	6	2	17
OG0000959	4	11	2	17
OG0000960	5	6	6	17
OG0000961	8	5	4	17
OG0000962	6	8	3	17
OG0000963	6	7	4	17
OG0000964	4	7	6	17
OG0000965	6	6	5	17
OG0000966	5	6	6	17
OG0000967	7	6	4	17
OG0000968	5	6	6	17
OG0000969	6	7	4	17
OG0000970	8	5	4	17
OG0000971	9	6	2	17
OG0000972	7	8	2	17
OG0000973	5	7	5	17
OG0000974	8	7	2	17
OG0000975	10	5	2	17
OG0000976	4	11	2	17
OG0000977	3	9	5	17
OG0000978	6	6	5	17
OG0000979	5	8	4	17
OG0000980	4	7	6	17
OG0000981	9	6	2	17
OG0000982	6	5	6	17
OG0000983	5	8	4	17
OG0000984	5	5	7	17
OG0000985	11	4	2	17
OG0000986	11	4	2	17
OG0000987	8	5	4	17
OG0000988	6	5	6	17
OG0000989	12	4	1	17
OG0000990	9	6	2	17
OG0000991	6	6	5	17
OG0000992	10	5	2	17
OG0000993	5	8	4	17
OG0000994	9	6	2	17
