	HAU.prot	JGIv1.prot	JGIv2.prot
OG0037120	Ghir_A01G002350.6		
OG0037121	Ghir_A01G002380.1		
OG0037122	Ghir_A01G002430.1		
OG0037123	Ghir_A01G002470.2		
OG0037124	Ghir_A01G002490.2		
OG0037125	Ghir_A01G002550.2		
OG0037126	Ghir_A01G002570.1		
OG0037127	Ghir_A01G002580.1		
OG0037128	Ghir_A01G002610.1		
OG0037129	Ghir_A01G002630.1		
OG0037130	Ghir_A01G002630.2		
OG0037131	Ghir_A01G002640.2		
OG0037132	Ghir_A01G002640.1		
OG0037133	Ghir_A01G002660.2		
OG0037134	Ghir_A01G002660.3		
OG0037135	Ghir_A01G002680.2		
OG0037136	Ghir_A01G002780.2		
OG0037137	Ghir_A01G002800.2		
OG0037138	Ghir_A01G002800.3		
OG0037139	Ghir_A01G002820.1		
OG0037140	Ghir_A01G002850.3		
OG0037141	Ghir_A01G002850.4		
OG0037142	Ghir_A01G002850.2		
OG0037143	Ghir_A01G002850.6		
OG0037144	Ghir_A01G002850.5		
OG0037145	Ghir_A01G002850.7		
OG0037146	Ghir_A01G002850.8		
OG0037147	Ghir_A01G002860.1		
OG0037148	Ghir_A01G002860.3		
OG0037149	Ghir_A01G002880.1		
OG0037150	Ghir_A01G002890.1		
OG0037151	Ghir_A01G002890.2		
OG0037152	Ghir_A01G002890.3		
OG0037153	Ghir_A01G002900.1		
OG0037154	Ghir_A01G002920.2		
OG0037155	Ghir_A01G002970.6		
OG0037156	Ghir_A01G002970.7		
OG0037157	Ghir_A01G002970.1		
OG0037158	Ghir_A01G003020.2		
OG0037159	Ghir_A01G003030.2		
OG0037160	Ghir_A01G003030.3		
OG0037161	Ghir_A01G003040.3		
OG0037162	Ghir_A01G003100.1		
OG0037163	Ghir_A01G003110.2		
OG0037164	Ghir_A01G003120.4		
OG0037165	Ghir_A01G003120.2		
OG0037166	Ghir_A01G003130.4		
OG0037167	Ghir_A01G003150.1		
OG0037168	Ghir_A01G003170.1		
OG0037169	Ghir_A01G003170.2		
OG0037170	Ghir_A01G003180.1		
OG0037171	Ghir_A01G003190.3		
OG0037172	Ghir_A01G003190.4		
OG0037173	Ghir_A01G003190.5		
OG0037174	Ghir_A01G003190.7		
OG0037175	Ghir_A01G003190.8		
OG0037176	Ghir_A01G003210.1		
OG0037177	Ghir_A01G003210.3		
OG0037178	Ghir_A01G003210.2		
OG0037179	Ghir_A01G003230.1		
OG0037180	Ghir_A01G003260.1		
OG0037181	Ghir_A01G003270.2		
OG0037182	Ghir_A01G003320.1		
OG0037183	Ghir_A01G003320.2		
OG0037184	Ghir_A01G003320.3		
OG0037185	Ghir_A01G003320.5		
OG0037186	Ghir_A01G003340.2		
OG0037187	Ghir_A01G003380.2		
OG0037188	Ghir_A01G003410.1		
OG0037189	Ghir_A01G003410.2		
OG0037190	Ghir_A01G003440.2		
OG0037191	Ghir_A01G003480.3		
OG0037192	Ghir_A01G003600.3		
OG0037193	Ghir_A01G003610.1		
OG0037194	Ghir_A01G003610.2		
OG0037195	Ghir_A01G003610.4		
OG0037196	Ghir_A01G003620.1		
OG0037197	Ghir_A01G003630.1		
OG0037198	Ghir_A01G003680.1		
OG0037199	Ghir_A01G003680.2		
OG0037200	Ghir_A01G003680.3		
OG0037201	Ghir_A01G003680.4		
OG0037202	Ghir_A01G003710.1		
OG0037203	Ghir_A01G003720.1		
OG0037204	Ghir_A01G003730.1		
OG0037205	Ghir_A01G003750.1		
OG0037206	Ghir_A01G003810.1		
OG0037207	Ghir_A01G003820.1		
OG0037208	Ghir_A01G003840.3		
OG0037209	Ghir_A01G003840.5		
OG0037210	Ghir_A01G003840.9		
OG0037211	Ghir_A01G003840.13		
OG0037212	Ghir_A01G003850.2		
OG0037213	Ghir_A01G003860.1		
OG0037214	Ghir_A01G003880.1		
OG0037215	Ghir_A01G003930.2		
OG0037216	Ghir_A01G003940.3		
OG0037217	Ghir_A01G003940.4		
OG0037218	Ghir_A01G003970.1		
OG0037219	Ghir_A01G004010.1		
OG0037220	Ghir_A01G004080.1		
OG0037221	Ghir_A01G004100.10		
OG0037222	Ghir_A01G004100.2		
OG0037223	Ghir_A01G004190.1		
OG0037224	Ghir_A01G004210.1		
OG0037225	Ghir_A01G004230.1		
OG0037226	Ghir_A01G004390.1		
OG0037227	Ghir_A01G004410.1		
OG0037228	Ghir_A01G004420.1		
OG0037229	Ghir_A01G004520.1		
OG0037230	Ghir_A01G004530.2		
OG0037231	Ghir_A01G004530.3		
OG0037232	Ghir_A01G004560.2		
OG0037233	Ghir_A01G004570.1		
OG0037234	Ghir_A01G004580.1		
OG0037235	Ghir_A01G004590.1		
OG0037236	Ghir_A01G004610.1		
OG0037237	Ghir_A01G004610.3		
OG0037238	Ghir_A01G004620.2		
OG0037239	Ghir_A01G004630.2		
OG0037240	Ghir_A01G004650.2		
OG0037241	Ghir_A01G004670.2		
OG0037242	Ghir_A01G004670.5		
OG0037243	Ghir_A01G004690.2		
OG0037244	Ghir_A01G004720.2		
OG0037245	Ghir_A01G004730.1		
OG0037246	Ghir_A01G004760.1		
OG0037247	Ghir_A01G004780.1		
OG0037248	Ghir_A01G004850.1		
OG0037249	Ghir_A01G004850.2		
OG0037250	Ghir_A01G004890.1		
OG0037251	Ghir_A01G004890.3		
OG0037252	Ghir_A01G004890.4		
OG0037253	Ghir_A01G004900.4		
OG0037254	Ghir_A01G004960.1		
OG0037255	Ghir_A01G005180.2		
OG0037256	Ghir_A01G005200.1		
OG0037257	Ghir_A01G005210.3		
OG0037258	Ghir_A01G005210.4		
OG0037259	Ghir_A01G005210.5		
OG0037260	Ghir_A01G005210.6		
OG0037261	Ghir_A01G005230.3		
OG0037262	Ghir_A01G005240.2		
OG0037263	Ghir_A01G005240.3		
OG0037264	Ghir_A01G005240.6		
OG0037265	Ghir_A01G005330.1		
OG0037266	Ghir_A01G005350.1		
OG0037267	Ghir_A01G005400.1		
OG0037268	Ghir_A01G005400.2		
OG0037269	Ghir_A01G005420.1		
OG0037270	Ghir_A01G005420.5		
OG0037271	Ghir_A01G005440.1		
OG0037272	Ghir_A01G005440.2		
OG0037273	Ghir_A01G005440.5		
OG0037274	Ghir_A01G005440.4		
OG0037275	Ghir_A01G005440.3		
OG0037276	Ghir_A01G005490.1		
OG0037277	Ghir_A01G005510.1		
OG0037278	Ghir_A01G005520.1		
OG0037279	Ghir_A01G005540.1		
OG0037280	Ghir_A01G005550.1		
OG0037281	Ghir_A01G005600.2		
OG0037282	Ghir_A01G005600.1		
OG0037283	Ghir_A01G005620.1		
OG0037284	Ghir_A01G005660.3		
OG0037285	Ghir_A01G005690.2		
OG0037286	Ghir_A01G005710.2		
OG0037287	Ghir_A01G005710.3		
OG0037288	Ghir_A01G005710.4		
OG0037289	Ghir_A01G005710.6		
OG0037290	Ghir_A01G005720.6		
OG0037291	Ghir_A01G005730.1		
OG0037292	Ghir_A01G005820.2		
OG0037293	Ghir_A01G005830.1		
OG0037294	Ghir_A01G005850.5		
OG0037295	Ghir_A01G005850.3		
OG0037296	Ghir_A01G005940.1		
OG0037297	Ghir_A01G006020.1		
OG0037298	Ghir_A01G006020.2		
OG0037299	Ghir_A01G006050.3		
OG0037300	Ghir_A01G006050.4		
OG0037301	Ghir_A01G006080.4		
OG0037302	Ghir_A01G006080.2		
OG0037303	Ghir_A01G006080.3		
OG0037304	Ghir_A01G006140.5		
OG0037305	Ghir_A01G006140.7		
OG0037306	Ghir_A01G006150.1		
OG0037307	Ghir_A01G006170.1		
OG0037308	Ghir_A01G006180.1		
OG0037309	Ghir_A01G006210.1		
OG0037310	Ghir_A01G006220.1		
OG0037311	Ghir_A01G006260.1		
OG0037312	Ghir_A01G006270.1		
OG0037313	Ghir_A01G006280.1		
OG0037314	Ghir_A01G006340.2		
OG0037315	Ghir_A01G006360.1		
OG0037316	Ghir_A01G006370.1		
OG0037317	Ghir_A01G006410.2		
OG0037318	Ghir_A01G006430.1		
OG0037319	Ghir_A01G006430.2		
OG0037320	Ghir_A01G006440.1		
OG0037321	Ghir_A01G006440.2		
OG0037322	Ghir_A01G006470.2		
OG0037323	Ghir_A01G006500.2		
OG0037324	Ghir_A01G006520.2		
OG0037325	Ghir_A01G006540.1		
OG0037326	Ghir_A01G006560.2		
OG0037327	Ghir_A01G006590.2		
OG0037328	Ghir_A01G006610.1		
OG0037329	Ghir_A01G006660.1		
OG0037330	Ghir_A01G006670.1		
OG0037331	Ghir_A01G006720.1		
OG0037332	Ghir_A01G006740.1		
OG0037333	Ghir_A01G006750.1		
OG0037334	Ghir_A01G006750.2		
OG0037335	Ghir_A01G006760.1		
OG0037336	Ghir_A01G006770.1		
OG0037337	Ghir_A01G006780.1		
OG0037338	Ghir_A01G006830.1		
OG0037339	Ghir_A01G006830.3		
OG0037340	Ghir_A01G006830.4		
OG0037341	Ghir_A01G006870.1		
OG0037342	Ghir_A01G006880.1		
OG0037343	Ghir_A01G006920.2		
OG0037344	Ghir_A01G006940.1		
OG0037345	Ghir_A01G006950.1		
OG0037346	Ghir_A01G007010.2		
OG0037347	Ghir_A01G007010.3		
OG0037348	Ghir_A01G007010.4		
OG0037349	Ghir_A01G007050.4		
OG0037350	Ghir_A01G007070.5		
OG0037351	Ghir_A01G007070.6		
OG0037352	Ghir_A01G007080.10		
OG0037353	Ghir_A01G007080.11		
OG0037354	Ghir_A01G007080.7		
OG0037355	Ghir_A01G007080.9		
OG0037356	Ghir_A01G007090.2		
OG0037357	Ghir_A01G007120.1		
OG0037358	Ghir_A01G007190.2		
OG0037359	Ghir_A01G007230.1		
OG0037360	Ghir_A01G007230.2		
OG0037361	Ghir_A01G007280.1		
OG0037362	Ghir_A01G007290.1		
OG0037363	Ghir_A01G007380.1		
OG0037364	Ghir_A01G007390.2		
OG0037365	Ghir_A01G007470.2		
OG0037366	Ghir_A01G007510.1		
OG0037367	Ghir_A01G007520.1		
OG0037368	Ghir_A01G007520.2		
OG0037369	Ghir_A01G007520.3		
OG0037370	Ghir_A01G007520.4		
OG0037371	Ghir_A01G007520.5		
OG0037372	Ghir_A01G007570.1		
OG0037373	Ghir_A01G007570.2		
OG0037374	Ghir_A01G007570.5		
OG0037375	Ghir_A01G007600.6		
OG0037376	Ghir_A01G007630.1		
OG0037377	Ghir_A01G007640.1		
OG0037378	Ghir_A01G007740.3		
OG0037379	Ghir_A01G007770.2		
OG0037380	Ghir_A01G007770.1		
OG0037381	Ghir_A01G007780.3		
OG0037382	Ghir_A01G007810.3		
OG0037383	Ghir_A01G007840.1		
OG0037384	Ghir_A01G007860.1		
OG0037385	Ghir_A01G007870.1		
OG0037386	Ghir_A01G007880.1		
OG0037387	Ghir_A01G007930.1		
OG0037388	Ghir_A01G008010.1		
OG0037389	Ghir_A01G008050.1		
OG0037390	Ghir_A01G008100.2		
OG0037391	Ghir_A01G008100.3		
OG0037392	Ghir_A01G008110.1		
OG0037393	Ghir_A01G008120.1		
OG0037394	Ghir_A01G008150.2		
OG0037395	Ghir_A01G008160.10		
OG0037396	Ghir_A01G008160.11		
OG0037397	Ghir_A01G008160.12		
OG0037398	Ghir_A01G008160.13		
OG0037399	Ghir_A01G008160.5		
OG0037400	Ghir_A01G008160.6		
OG0037401	Ghir_A01G008160.7		
OG0037402	Ghir_A01G008160.8		
OG0037403	Ghir_A01G008160.9		
OG0037404	Ghir_A01G008160.2		
OG0037405	Ghir_A01G008160.3		
OG0037406	Ghir_A01G008160.4		
OG0037407	Ghir_A01G008160.14		
OG0037408	Ghir_A01G008170.1		
OG0037409	Ghir_A01G008190.1		
OG0037410	Ghir_A01G008220.7		
OG0037411	Ghir_A01G008250.4		
OG0037412	Ghir_A01G008340.2		
OG0037413	Ghir_A01G008340.1		
OG0037414	Ghir_A01G008340.3		
OG0037415	Ghir_A01G008350.2		
OG0037416	Ghir_A01G008360.2		
OG0037417	Ghir_A01G008360.3		
OG0037418	Ghir_A01G008360.4		
OG0037419	Ghir_A01G008360.5		
OG0037420	Ghir_A01G008360.6		
OG0037421	Ghir_A01G008360.7		
OG0037422	Ghir_A01G008390.1		
OG0037423	Ghir_A01G008410.3		
OG0037424	Ghir_A01G008410.1		
OG0037425	Ghir_A01G008410.2		
OG0037426	Ghir_A01G008420.3		
OG0037427	Ghir_A01G008460.2		
OG0037428	Ghir_A01G008460.4		
OG0037429	Ghir_A01G008460.5		
OG0037430	Ghir_A01G008460.6		
OG0037431	Ghir_A01G008470.2		
OG0037432	Ghir_A01G008480.1		
OG0037433	Ghir_A01G008490.1		
OG0037434	Ghir_A01G008510.2		
OG0037435	Ghir_A01G008530.1		
OG0037436	Ghir_A01G008540.1		
OG0037437	Ghir_A01G008550.2		
OG0037438	Ghir_A01G008550.3		
OG0037439	Ghir_A01G008570.2		
OG0037440	Ghir_A01G008610.1		
OG0037441	Ghir_A01G008630.1		
OG0037442	Ghir_A01G008650.2		
OG0037443	Ghir_A01G008650.1		
OG0037444	Ghir_A01G008660.1		
OG0037445	Ghir_A01G008680.1		
OG0037446	Ghir_A01G008710.1		
OG0037447	Ghir_A01G008760.2		
OG0037448	Ghir_A01G008800.1		
OG0037449	Ghir_A01G008810.3		
OG0037450	Ghir_A01G008850.2		
OG0037451	Ghir_A01G008860.3		
OG0037452	Ghir_A01G008870.1		
OG0037453	Ghir_A01G008890.1		
OG0037454	Ghir_A01G008900.1		
OG0037455	Ghir_A01G008910.1		
OG0037456	Ghir_A01G008920.1		
OG0037457	Ghir_A01G008940.1		
OG0037458	Ghir_A01G008940.2		
OG0037459	Ghir_A01G008940.4		
OG0037460	Ghir_A01G008950.2		
OG0037461	Ghir_A01G008960.1		
OG0037462	Ghir_A01G008990.1		
OG0037463	Ghir_A01G009010.2		
OG0037464	Ghir_A01G009030.1		
OG0037465	Ghir_A01G009040.2		
OG0037466	Ghir_A01G009040.3		
OG0037467	Ghir_A01G009040.4		
OG0037468	Ghir_A01G009050.2		
OG0037469	Ghir_A01G009050.3		
OG0037470	Ghir_A01G009050.4		
OG0037471	Ghir_A01G009050.1		
OG0037472	Ghir_A01G009060.1		
OG0037473	Ghir_A01G009070.2		
OG0037474	Ghir_A01G009080.3		
OG0037475	Ghir_A01G009080.4		
OG0037476	Ghir_A01G009120.1		
OG0037477	Ghir_A01G009140.2		
OG0037478	Ghir_A01G009140.3		
OG0037479	Ghir_A01G009140.4		
OG0037480	Ghir_A01G009140.5		
OG0037481	Ghir_A01G009140.6		
OG0037482	Ghir_A01G009140.7		
OG0037483	Ghir_A01G009140.8		
OG0037484	Ghir_A01G009140.10		
OG0037485	Ghir_A01G009140.9		
OG0037486	Ghir_A01G009160.1		
OG0037487	Ghir_A01G009170.1		
OG0037488	Ghir_A01G009180.1		
OG0037489	Ghir_A01G009180.4		
OG0037490	Ghir_A01G009200.1		
OG0037491	Ghir_A01G009210.2		
OG0037492	Ghir_A01G009220.1		
OG0037493	Ghir_A01G009230.2		
OG0037494	Ghir_A01G009230.3		
OG0037495	Ghir_A01G009240.2		
OG0037496	Ghir_A01G009250.2		
OG0037497	Ghir_A01G009290.1		
OG0037498	Ghir_A01G009300.1		
OG0037499	Ghir_A01G009320.3		
OG0037500	Ghir_A01G009330.4		
OG0037501	Ghir_A01G009330.5		
OG0037502	Ghir_A01G009330.6		
OG0037503	Ghir_A01G009340.1		
OG0037504	Ghir_A01G009350.2		
OG0037505	Ghir_A01G009350.3		
OG0037506	Ghir_A01G009350.4		
OG0037507	Ghir_A01G009350.5		
OG0037508	Ghir_A01G009350.1		
OG0037509	Ghir_A01G009370.5		
OG0037510	Ghir_A01G009370.6		
OG0037511	Ghir_A01G009370.8		
OG0037512	Ghir_A01G009380.1		
OG0037513	Ghir_A01G009390.3		
OG0037514	Ghir_A01G009400.3		
OG0037515	Ghir_A01G009430.1		
OG0037516	Ghir_A01G009440.2		
OG0037517	Ghir_A01G009460.2		
OG0037518	Ghir_A01G009470.1		
OG0037519	Ghir_A01G009470.2		
OG0037520	Ghir_A01G009480.3		
OG0037521	Ghir_A01G009490.1		
OG0037522	Ghir_A01G009500.2		
OG0037523	Ghir_A01G009510.1		
OG0037524	Ghir_A01G009530.1		
OG0037525	Ghir_A01G009530.2		
OG0037526	Ghir_A01G009560.1		
OG0037527	Ghir_A01G009570.1		
OG0037528	Ghir_A01G009580.1		
OG0037529	Ghir_A01G009630.1		
OG0037530	Ghir_A01G009650.1		
OG0037531	Ghir_A01G009660.1		
OG0037532	Ghir_A01G009660.2		
OG0037533	Ghir_A01G009660.4		
OG0037534	Ghir_A01G009670.1		
OG0037535	Ghir_A01G009710.1		
OG0037536	Ghir_A01G009720.10		
OG0037537	Ghir_A01G009720.8		
OG0037538	Ghir_A01G009720.2		
OG0037539	Ghir_A01G009730.3		
OG0037540	Ghir_A01G009740.1		
OG0037541	Ghir_A01G009740.2		
OG0037542	Ghir_A01G009760.2		
OG0037543	Ghir_A01G009800.2		
OG0037544	Ghir_A01G009800.3		
OG0037545	Ghir_A01G009830.1		
OG0037546	Ghir_A01G009840.1		
OG0037547	Ghir_A01G009860.1		
OG0037548	Ghir_A01G009860.2		
OG0037549	Ghir_A01G009860.4		
OG0037550	Ghir_A01G009870.1		
OG0037551	Ghir_A01G009880.2		
OG0037552	Ghir_A01G009920.2		
OG0037553	Ghir_A01G009920.3		
OG0037554	Ghir_A01G009930.1		
OG0037555	Ghir_A01G009940.1		
OG0037556	Ghir_A01G009990.6		
OG0037557	Ghir_A01G009990.5		
OG0037558	Ghir_A01G009990.3		
OG0037559	Ghir_A01G009990.2		
OG0037560	Ghir_A01G010000.1		
OG0037561	Ghir_A01G010010.1		
OG0037562	Ghir_A01G010020.2		
OG0037563	Ghir_A01G010020.3		
OG0037564	Ghir_A01G010020.4		
OG0037565	Ghir_A01G010030.1		
OG0037566	Ghir_A01G010030.2		
OG0037567	Ghir_A01G010030.3		
OG0037568	Ghir_A01G010040.1		
OG0037569	Ghir_A01G010040.2		
OG0037570	Ghir_A01G010040.3		
OG0037571	Ghir_A01G010040.4		
OG0037572	Ghir_A01G010040.5		
OG0037573	Ghir_A01G010040.6		
OG0037574	Ghir_A01G010040.10		
OG0037575	Ghir_A01G010040.7		
OG0037576	Ghir_A01G010040.8		
OG0037577	Ghir_A01G010040.9		
OG0037578	Ghir_A01G010090.3		
OG0037579	Ghir_A01G010100.1		
OG0037580	Ghir_A01G010150.1		
OG0037581	Ghir_A01G010150.2		
OG0037582	Ghir_A01G010150.3		
OG0037583	Ghir_A01G010350.1		
OG0037584	Ghir_A01G010370.2		
OG0037585	Ghir_A01G010380.2		
OG0037586	Ghir_A01G010380.3		
OG0037587	Ghir_A01G010380.4		
OG0037588	Ghir_A01G010390.1		
OG0037589	Ghir_A01G010390.2		
OG0037590	Ghir_A01G010420.3		
OG0037591	Ghir_A01G010430.1		
OG0037592	Ghir_A01G010460.1		
OG0037593	Ghir_A01G010510.13		
OG0037594	Ghir_A01G010510.11		
OG0037595	Ghir_A01G010510.12		
OG0037596	Ghir_A01G010520.1		
OG0037597	Ghir_A01G010550.1		
OG0037598	Ghir_A01G010560.1		
OG0037599	Ghir_A01G010610.1		
OG0037600	Ghir_A01G010620.5		
OG0037601	Ghir_A01G010620.6		
OG0037602	Ghir_A01G010640.1		
OG0037603	Ghir_A01G010650.1		
OG0037604	Ghir_A01G010670.4		
OG0037605	Ghir_A01G010740.2		
OG0037606	Ghir_A01G010740.3		
OG0037607	Ghir_A01G010760.1		
OG0037608	Ghir_A01G010770.2		
OG0037609	Ghir_A01G010800.2		
OG0037610	Ghir_A01G010820.1		
OG0037611	Ghir_A01G010880.2		
OG0037612	Ghir_A01G010970.1		
OG0037613	Ghir_A01G011080.1		
OG0037614	Ghir_A01G011120.1		
OG0037615	Ghir_A01G011170.2		
OG0037616	Ghir_A01G011170.3		
OG0037617	Ghir_A01G011190.1		
OG0037618	Ghir_A01G011210.1		
OG0037619	Ghir_A01G011210.2		
OG0037620	Ghir_A01G011210.3		
OG0037621	Ghir_A01G011210.4		
OG0037622	Ghir_A01G011210.5		
OG0037623	Ghir_A01G011210.6		
OG0037624	Ghir_A01G011230.1		
OG0037625	Ghir_A01G011260.1		
OG0037626	Ghir_A01G011290.2		
OG0037627	Ghir_A01G011320.2		
OG0037628	Ghir_A01G011350.1		
OG0037629	Ghir_A01G011360.1		
OG0037630	Ghir_A01G011370.6		
OG0037631	Ghir_A01G011370.4		
OG0037632	Ghir_A01G011370.3		
OG0037633	Ghir_A01G011370.5		
OG0037634	Ghir_A01G011430.1		
OG0037635	Ghir_A01G011440.1		
OG0037636	Ghir_A01G011450.1		
OG0037637	Ghir_A01G011470.1		
OG0037638	Ghir_A01G011490.1		
OG0037639	Ghir_A01G011500.1		
OG0037640	Ghir_A01G011560.2		
OG0037641	Ghir_A01G011590.2		
OG0037642	Ghir_A01G011610.1		
OG0037643	Ghir_A01G011610.2		
OG0037644	Ghir_A01G011610.6		
OG0037645	Ghir_A01G011610.8		
OG0037646	Ghir_A01G011610.10		
OG0037647	Ghir_A01G011620.1		
OG0037648	Ghir_A01G011710.3		
OG0037649	Ghir_A01G011710.5		
OG0037650	Ghir_A01G011710.6		
OG0037651	Ghir_A01G011730.1		
OG0037652	Ghir_A01G011740.1		
OG0037653	Ghir_A01G011740.3		
OG0037654	Ghir_A01G011740.4		
OG0037655	Ghir_A01G011750.4		
OG0037656	Ghir_A01G011760.2		
OG0037657	Ghir_A01G011760.3		
OG0037658	Ghir_A01G011780.1		
OG0037659	Ghir_A01G011800.1		
OG0037660	Ghir_A01G011820.1		
OG0037661	Ghir_A01G011830.1		
OG0037662	Ghir_A01G011840.1		
OG0037663	Ghir_A01G011840.2		
OG0037664	Ghir_A01G011840.3		
OG0037665	Ghir_A01G011870.1		
OG0037666	Ghir_A01G011870.2		
OG0037667	Ghir_A01G011930.1		
OG0037668	Ghir_A01G011980.2		
OG0037669	Ghir_A01G011980.3		
OG0037670	Ghir_A01G011980.4		
OG0037671	Ghir_A01G012010.2		
OG0037672	Ghir_A01G012020.1		
OG0037673	Ghir_A01G012060.1		
OG0037674	Ghir_A01G012070.1		
OG0037675	Ghir_A01G012110.1		
OG0037676	Ghir_A01G012120.1		
OG0037677	Ghir_A01G012130.1		
OG0037678	Ghir_A01G012150.2		
OG0037679	Ghir_A01G012180.1		
OG0037680	Ghir_A01G012210.1		
OG0037681	Ghir_A01G012220.1		
OG0037682	Ghir_A01G012260.2		
