# Generated by GMAP version 2018-07-04 using call:  gmap.avx2 -D . -d A2 -t 150 -n 2 -f 4 QTLtargetseqsFixed.fasta							
LG	Marker	Position	Chr	 Start 	 End 	% ID	
AZ02	AZ02/IA3_c4_09140_0.396	0.396	Chr12	" 36,239,840 "	" 36,243,451 "	81	ID=AZ2/IA3_c4_09140_0.396.path1;Name=AZ2/IA3_c4_09140_0.396;Target=AZ2/IA3_c4_09140_0.396 4 270 +;Gap=M217 N3342 M1 D3 M49;coverage=96.7;identity=89.2;matches=239;mismatches=26;indels=3;unknowns=2
AZ02	AZ02/IA3_c2_04522_4.964	4.964	Chr12	" 45,122,263 "	" 45,130,779 "	89	ID=AZ2/IA3_c2_04522_4.964.path1;Name=AZ2/IA3_c2_04522_4.964;Target=AZ2/IA3_c2_04522_4.964 6 301 +;Gap=M94 N5085 M35 N3136 M167;coverage=98.3;identity=91.9;matches=271;mismatches=24;indels=0;unknowns=1
AZ02	AZ02/IA3_ck_08344_10.418	10.418	Chr10	" 104,861,620 "	" 105,312,523 "	100	ID=AZ2/IA3_ck_08344_10.418.path1;Name=AZ2/IA3_ck_08344_10.418;Target=AZ2/IA3_ck_08344_10.418 75 205 +;Gap=M80 N450813 M11;coverage=45.2;identity=84.4;matches=76;mismatches=14;indels=0;unknowns=1
AZ02	AZ02/IA3_ck_08344_10.418	10.418	Chr08	" 120,777,397 "	" 120,777,440 "	90	ID=AZ2/IA3_ck_08344_10.418.path2;Name=AZ2/IA3_ck_08344_10.418;Target=AZ2/IA3_ck_08344_10.418 227 270 +;Gap=M44;coverage=15.2;identity=90.9;matches=40;mismatches=4;indels=0;unknowns=0
AZ02	AZ02/IA3_ck_02331_17.464	17.464	Chr12	" 24,054,078 "	" 24,054,378 "	95	ID=AZ2/IA3_ck_02331_17.464.path1;Name=AZ2/IA3_ck_02331_17.464;Target=AZ2/IA3_ck_02331_17.464 1 301 +;Gap=M301;coverage=100.0;identity=95.0;matches=285;mismatches=15;indels=0;unknowns=1
AZ02	AZ02/IA3_GS2A_45293p258q9_24.63	24.63	Chr12	" 14,636,059 "	" 14,637,187 "	100	ID=AZ2/IA3_GS2A_45293p258q9_24.63.path1;Name=AZ2/IA3_GS2A_45293p258q9_24.63;Target=AZ2/IA3_GS2A_45293p258q9_24.63 33 558 +;Gap=M220 N93 M110 N373 M80 N137 M116;coverage=94.3;identity=99.6;matches=504;mismatches=2;indels=0;unknowns=20
AZ02	AZ02/IA3_c4_23726_27.508	27.508	Chr04	" 13,427,192 "	" 14,163,436 "	100	ID=AZ2/IA3_c4_23726_27.508.path1;Name=AZ2/IA3_c4_23726_27.508;Target=AZ2/IA3_c4_23726_27.508 9 214 -;Gap=M6 N7228 M3 N35501 M18 N640244 M12 N10431 M2 N16069 M1 N3125 M16 N5639 M8 N4317 M6 N7448 M8 N6070 M15 I2 M3 I5 M15 D1 M59;coverage=68.4;identity=83.3;matches=150;mismatches=22;indels=8;unknowns=0
AZ02	AZ02/IA3_c4_23726_27.508	27.508	Chr10	" 66,262,874 "	" 66,285,363 "	100	ID=AZ2/IA3_c4_23726_27.508.path2;Name=AZ2/IA3_c4_23726_27.508;Target=AZ2/IA3_c4_23726_27.508 161 223 +;Gap=M24 I1 M14 N15023 M8 N3452 M9 N3953 M7;coverage=20.9;identity=92.1;matches=58;mismatches=4;indels=1;unknowns=0
AZ02	AZ02/IA3_EST1D_27871_01_52.821_Cotton16_27871_02	52.821	Chr11	" 100,179,620 "	" 100,180,612 "	100	ID=AZ2/IA3_EST1D_27871_01_52.821_Cotton16_27871_02.path1;Name=AZ2/IA3_EST1D_27871_01_52.821_Cotton16_27871_02;Target=AZ2/IA3_EST1D_27871_01_52.821_Cotton16_27871_02 1 494 +;Gap=M470 N499 M24;coverage=100.0;identity=100.0;matches=494;mismatches=0;indels=0;unknowns=0
							
AZ04	AZ04/IA37_c4_41113_0	0	Chr13	" 26,818,629 "	" 26,818,916 "	88	ID=AZ4/IA37_c4_41113_0.path1;Name=AZ4/IA37_c4_41113_0;Target=AZ4/IA37_c4_41113_0 13 301 +;Gap=M114 I1 M56 I1 M25 I1 M47 D2 M44;coverage=96.0;identity=88.6;matches=257;mismatches=28;indels=5;unknowns=1
AZ04	AZ04/IA37_c4_41113_0	0	Chr07	" 5,615,508 "	" 5,615,804 "	87	ID=AZ4/IA37_c4_41113_0.path2;Name=AZ4/IA37_c4_41113_0;Target=AZ4/IA37_c4_41113_0 5 301 +;Gap=M122 I1 M62 I1 M67 D2 M44;coverage=98.7;identity=87.6;matches=261;mismatches=33;indels=4;unknowns=1
AZ04	AZ04/IA37_GS2A_7310p1793q4A_10.067	10.067	Chr12	" 1,459,916 "	" 1,460,499 "	97	ID=AZ4/IA37_GS2A_7310p1793q4A_10.067.path1;Name=AZ4/IA37_GS2A_7310p1793q4A_10.067;Target=AZ4/IA37_GS2A_7310p1793q4A_10.067 1 503 +;Gap=M232 N80 M206 I1 M5 D2 M59;coverage=100.0;identity=98.8;matches=493;mismatches=3;indels=3;unknowns=6
							
AZ05	AZ05/IA6_GS2A_37928p339q7_0	0	Chr06	" 130,251,785 "	" 130,252,874 "	100	ID=AZ5/IA6_GS2A_37928p339q7_0.path1;Name=AZ5/IA6_GS2A_37928p339q7_0;Target=AZ5/IA6_GS2A_37928p339q7_0 2 601 -;Gap=M419 N388 M136 N102 M45;coverage=99.8;identity=100.0;matches=576;mismatches=0;indels=0;unknowns=24
AZ05	AZ05/IA6_c2_17305_5.368	5.368	Chr06	" 129,972,737 "	" 129,973,034 "	96	ID=AZ5/IA6_c2_17305_5.368.path1;Name=AZ5/IA6_c2_17305_5.368;Target=AZ5/IA6_c2_17305_5.368 1 301 -;Gap=M99 I1 M70 I1 M67 I1 M62;coverage=100.0;identity=96.7;matches=290;mismatches=7;indels=3;unknowns=1
AZ05	AZ05/IA6_GS2D_39816p508q23_11.702	11.702	Chr06	" 130,355,829 "	" 130,358,380 "	100	ID=AZ5/IA6_GS2D_39816p508q23_11.702.path1;Name=AZ5/IA6_GS2D_39816p508q23_11.702;Target=AZ5/IA6_GS2D_39816p508q23_11.702 4 601 -;Gap=M93 N84 M85 N423 M78 N92 M148 N648 M160 N707 M34;coverage=99.5;identity=99.8;matches=582;mismatches=1;indels=0;unknowns=15
AZ05	AZ05/IA6_EST1A_46071_01_40.258_Cotton16_46071_01	40.258	Chr06	" 126,476,773 "	" 126,477,271 "	95	ID=AZ5/IA6_EST1A_46071_01_40.258_Cotton16_46071_01.path1;Name=AZ5/IA6_EST1A_46071_01_40.258_Cotton16_46071_01;Target=AZ5/IA6_EST1A_46071_01_40.258_Cotton16_46071_01 1 499 +;Gap=M499;coverage=97.8;identity=95.8;matches=478;mismatches=21;indels=0;unknowns=0
AZ05	AZ05/IA6_c4_09782_44.84	44.84	Chr06	" 124,950,069 "	" 124,950,369 "	99	ID=AZ5/IA6_c4_09782_44.84.path1;Name=AZ5/IA6_c4_09782_44.84;Target=AZ5/IA6_c4_09782_44.84 1 301 +;Gap=M301;coverage=100.0;identity=99.7;matches=299;mismatches=1;indels=0;unknowns=1
AZ05	AZ05/IA6_c4_57424_46.431	46.431	Chr06	" 124,741,570 "	" 124,741,869 "	96	ID=AZ5/IA6_c4_57424_46.431.path1;Name=AZ5/IA6_c4_57424_46.431;Target=AZ5/IA6_c4_57424_46.431 2 301 +;Gap=M300;coverage=99.7;identity=97.0;matches=290;mismatches=9;indels=0;unknowns=1
AZ05	AZ05/IA6_c2_56561_54.203	54.203	Chr06	" 108,341,264 "	" 108,341,566 "	98	ID=AZ5/IA6_c2_56561_54.203.path1;Name=AZ5/IA6_c2_56561_54.203;Target=AZ5/IA6_c2_56561_54.203 1 301 +;Gap=M51 D2 M250;coverage=100.0;identity=98.7;matches=298;mismatches=2;indels=2;unknowns=1
AZ05	AZ05/IA6_c4_16762_58.511	58.511	Chr06	" 110,341,713 "	" 110,342,012 "	99	ID=AZ5/IA6_c4_16762_58.511.path1;Name=AZ5/IA6_c4_16762_58.511;Target=AZ5/IA6_c4_16762_58.511 1 301 +;Gap=M176 I1 M124;coverage=100.0;identity=99.3;matches=298;mismatches=1;indels=1;unknowns=1
AZ05	AZ05/IA6_c4_07635_58.762	58.762	Chr06	" 99,305,741 "	" 99,306,041 "	97	ID=AZ5/IA6_c4_07635_58.762.path1;Name=AZ5/IA6_c4_07635_58.762;Target=AZ5/IA6_c4_07635_58.762 1 301 -;Gap=M301;coverage=100.0;identity=98.0;matches=293;mismatches=6;indels=0;unknowns=2
AZ05	AZ05/IA6_c4_14575_60.126	60.126	Chr06	" 46,653,065 "	" 46,653,362 "	98	ID=AZ5/IA6_c4_14575_60.126.path1;Name=AZ5/IA6_c4_14575_60.126;Target=AZ5/IA6_c4_14575_60.126 1 301 +;Gap=M73 I1 M183 I2 M42;coverage=100.0;identity=98.0;matches=294;mismatches=3;indels=3;unknowns=1
AZ05	AZ05/IA6_c4_48216_70.407	70.407	Chr02	" 87,099,329 "	" 87,099,608 "	85	ID=AZ5/IA6_c4_48216_70.407.path1;Name=AZ5/IA6_c4_48216_70.407;Target=AZ5/IA6_c4_48216_70.407 5 281 +;Gap=M58 D3 M219;coverage=92.0;identity=85.7;matches=239;mismatches=37;indels=3;unknowns=1
AZ05	AZ05/IA6_c4_48216_70.407	70.407	Chr06	" 14,575,779 "	" 14,585,378 "	84	ID=AZ5/IA6_c4_48216_70.407.path2;Name=AZ5/IA6_c4_48216_70.407;Target=AZ5/IA6_c4_48216_70.407 1 243 -;Gap=M34 N9352 M1 D2 M27 D3 M181;coverage=80.7;identity=85.8;matches=212;mismatches=30;indels=5;unknowns=1
AZ05	AZ05/IA6_c3_86518_74.938	74.938	Chr06	" 24,367,109 "	" 24,367,409 "	98	ID=AZ5/IA6_c3_86518_74.938.path1;Name=AZ5/IA6_c3_86518_74.938;Target=AZ5/IA6_c3_86518_74.938 1 301 -;Gap=M301;coverage=100.0;identity=98.7;matches=296;mismatches=4;indels=0;unknowns=1
AZ05	AZ05/IA6_c2_22447_75.074	75.074	Chr06	" 22,644,076 "	" 22,644,373 "	95	ID=AZ5/IA6_c2_22447_75.074.path1;Name=AZ5/IA6_c2_22447_75.074;Target=AZ5/IA6_c2_22447_75.074 1 301 -;Gap=M54 I2 M181 I1 M63;coverage=100.0;identity=96.0;matches=286;mismatches=9;indels=3;unknowns=3
AZ05	AZ05/IA6_GS1A_19003p436q20_76.134	76.134	Chr06	" 10,073,908 "	" 10,075,084 "	100	ID=AZ5/IA6_GS1A_19003p436q20_76.134.path1;Name=AZ5/IA6_GS1A_19003p436q20_76.134;Target=AZ5/IA6_GS1A_19003p436q20_76.134 2 601 -;Gap=M164 N449 M249 N128 M187;coverage=99.8;identity=100.0;matches=581;mismatches=0;indels=0;unknowns=19
AZ05	AZ05/IA6_GS1A_14865p560q19_77.798	77.798	Chr09	" 70,325,590 "	" 70,325,671 "	100	ID=AZ5/IA6_GS1A_14865p560q19_77.798.path1;Name=AZ5/IA6_GS1A_14865p560q19_77.798;Target=AZ5/IA6_GS1A_14865p560q19_77.798 1 82 +;Gap=M82;coverage=13.6;identity=100.0;matches=81;mismatches=0;indels=0;unknowns=1
AZ05	AZ05/IA6_GS1A_14865p560q19_77.798	77.798	Chr06	" 12,336,851 "	" 12,338,632 "	100	ID=AZ5/IA6_GS1A_14865p560q19_77.798.path2;Name=AZ5/IA6_GS1A_14865p560q19_77.798;Target=AZ5/IA6_GS1A_14865p560q19_77.798 83 601 +;Gap=M346 N1263 M173;coverage=86.4;identity=100.0;matches=512;mismatches=0;indels=0;unknowns=7
							
AZ06	AZ06/IA16_c2_48932_0	0	Chr04	" 91,668,465 "	" 91,668,764 "	98	ID=AZ6/IA16_c2_48932_0.path1;Name=AZ6/IA16_c2_48932_0;Target=AZ6/IA16_c2_48932_0 1 301 +;Gap=M101 I1 M199;coverage=100.0;identity=98.3;matches=295;mismatches=4;indels=1;unknowns=1
AZ06	AZ06/IA16_c3_40633_0.436	0.436	Chr10	" 19,516,347 "	" 19,516,646 "	99	ID=AZ6/IA16_c3_40633_0.436.path1;Name=AZ6/IA16_c3_40633_0.436;Target=AZ6/IA16_c3_40633_0.436 1 301 +;Gap=M6 I1 M294;coverage=100.0;identity=99.3;matches=298;mismatches=1;indels=1;unknowns=1
AZ06	AZ06/IA16_GS2A_48587p409q3_7.027	7.027	Chr05	" 31,951,255 "	" 31,952,021 "	100	ID=AZ6/IA16_GS2A_48587p409q3_7.027.path1;Name=AZ6/IA16_GS2A_48587p409q3_7.027;Target=AZ6/IA16_GS2A_48587p409q3_7.027 1 601 -;Gap=M66 N80 M102 N86 M433;coverage=100.0;identity=100.0;matches=580;mismatches=0;indels=0;unknowns=21
AZ06	AZ06/IA16_c2_114307_15.911	15.911	Chr11	" 123,318,827 "	" 123,319,128 "	95	ID=AZ6/IA16_c2_114307_15.911.path1;Name=AZ6/IA16_c2_114307_15.911;Target=AZ6/IA16_c2_114307_15.911 1 301 -;Gap=M241 D1 M60;coverage=100.0;identity=95.7;matches=287;mismatches=12;indels=1;unknowns=2
AZ06	AZ06/IA16_c2_31256_16.678	16.678	Chr04	" 73,390,467 "	" 73,390,753 "	99	ID=AZ6/IA16_c2_31256_16.678.path1;Name=AZ6/IA16_c2_31256_16.678;Target=AZ6/IA16_c2_31256_16.678 15 301 +;Gap=M287;coverage=95.3;identity=99.3;matches=284;mismatches=2;indels=0;unknowns=1
AZ06	AZ06/IA16_cs_1021_17.647	17.647	Chr05	" 81,653,605 "	" 81,653,886 "	97	ID=AZ6/IA16_cs_1021_17.647.path1;Name=AZ6/IA16_cs_1021_17.647;Target=AZ6/IA16_cs_1021_17.647 1 285 +;Gap=M191 I1 M6 I1 M12 I1 M73;coverage=100.0;identity=97.9;matches=277;mismatches=3;indels=3;unknowns=2
AZ06	AZ06/IA16_c3_58090_18.726	18.726	Chr05	" 75,028,129 "	" 75,028,426 "	97	ID=AZ6/IA16_c3_58090_18.726.path1;Name=AZ6/IA16_c3_58090_18.726;Target=AZ6/IA16_c3_58090_18.726 1 301 +;Gap=M12 I1 M37 I1 M147 I1 M102;coverage=100.0;identity=97.3;matches=291;mismatches=5;indels=3;unknowns=2
AZ06	AZ06/IA16_c4_17535_22.287	22.287	Chr05	" 38,027,097 "	" 38,027,396 "	98	ID=AZ6/IA16_c4_17535_22.287.path1;Name=AZ6/IA16_c4_17535_22.287;Target=AZ6/IA16_c4_17535_22.287 1 301 -;Gap=M6 I1 M294;coverage=100.0;identity=98.0;matches=294;mismatches=5;indels=1;unknowns=1
AZ06	AZ06/IA16_c4_15623_25.905	25.905	Chr04	" 14,002,824 "	" 14,003,031 "	85	ID=AZ6/IA16_c4_15623_25.905.path1;Name=AZ6/IA16_c4_15623_25.905;Target=AZ6/IA16_c4_15623_25.905 72 280 +;Gap=M154 I1 M54;coverage=72.3;identity=85.6;matches=178;mismatches=29;indels=1;unknowns=1
AZ06	AZ06/IA16_c4_15623_25.905	25.905	Chr04	" 13,414,333 "	" 13,414,436 "	91	ID=AZ6/IA16_c4_15623_25.905.path2;Name=AZ6/IA16_c4_15623_25.905;Target=AZ6/IA16_c4_15623_25.905 73 176 -;Gap=M104;coverage=36.0;identity=91.3;matches=94;mismatches=9;indels=0;unknowns=1
AZ06	AZ06/IA16_c4_49539_26.022	26.022	Chr05	" 77,860,739 "	" 77,861,038 "	98	ID=AZ6/IA16_c4_49539_26.022.path1;Name=AZ6/IA16_c4_49539_26.022;Target=AZ6/IA16_c4_49539_26.022 1 301 +;Gap=M190 I1 M110;coverage=100.0;identity=98.3;matches=295;mismatches=4;indels=1;unknowns=1
AZ06	AZ06/IA16_c4_06920_26.146	26.146	Chr05	" 82,183,484 "	" 82,183,757 "	98	ID=AZ6/IA16_c4_06920_26.146.path1;Name=AZ6/IA16_c4_06920_26.146;Target=AZ6/IA16_c4_06920_26.146 15 289 -;Gap=M216 I1 M58;coverage=95.2;identity=98.5;matches=270;mismatches=3;indels=1;unknowns=1
AZ06	AZ06/IA16_c4_56616_26.245	26.245	Chr05	" 82,014,150 "	" 82,014,447 "	97	ID=AZ6/IA16_c4_56616_26.245.path1;Name=AZ6/IA16_c4_56616_26.245;Target=AZ6/IA16_c4_56616_26.245 1 299 -;Gap=M255 I1 M43;coverage=100.0;identity=98.0;matches=290;mismatches=5;indels=1;unknowns=3
AZ06	AZ06/IA16_c4_40214_27.354	27.354	Chr05	" 49,843,225 "	" 49,843,525 "	97	ID=AZ6/IA16_c4_40214_27.354.path1;Name=AZ6/IA16_c4_40214_27.354;Target=AZ6/IA16_c4_40214_27.354 1 301 +;Gap=M301;coverage=100.0;identity=97.7;matches=293;mismatches=7;indels=0;unknowns=1
AZ06	AZ06/IA16_c4_12480_27.971	27.971	Chr04	" 83,754,606 "	" 83,755,033 "	99	ID=AZ6/IA16_c4_12480_27.971.path1;Name=AZ6/IA16_c4_12480_27.971;Target=AZ6/IA16_c4_12480_27.971 1 301 +;Gap=M57 I1 M71 N128 M172;coverage=100.0;identity=98.7;matches=296;mismatches=3;indels=1;unknowns=1
							
AZ07	AZ07/IA25_c4_38231_0	0	Chr11	" 116,282,348 "	" 116,282,567 "	95	ID=AZ7/IA25_c4_38231_0.path1;Name=AZ7/IA25_c4_38231_0;Target=AZ7/IA25_c4_38231_0 1 217 -;Gap=M11 D1 M120 I1 M39 D1 M18 D2 M28;coverage=77.5;identity=95.9;matches=211;mismatches=4;indels=5;unknowns=1
AZ07	AZ07/IA25_c4_13985_4.995	4.995	Chr11	" 113,267,928 "	" 113,268,227 "	96	ID=AZ7/IA25_c4_13985_4.995.path1;Name=AZ7/IA25_c4_13985_4.995;Target=AZ7/IA25_c4_13985_4.995 1 301 +;Gap=M73 I1 M227;coverage=100.0;identity=96.3;matches=289;mismatches=10;indels=1;unknowns=1
AZ07	AZ07/IA25_c4_18678_22.103	22.103	Chr11	" 105,466,210 "	" 105,469,850 "	63	ID=AZ7/IA25_c4_18678_22.103.path1;Name=AZ7/IA25_c4_18678_22.103;Target=AZ7/IA25_c4_18678_22.103 1 196 +;Gap=M57 N424 M32 I1 M33 N2981 M32 D41 M41;coverage=65.1;identity=78.4;matches=185;mismatches=9;indels=42;unknowns=1
AZ07	AZ07/IA25_GS2D_41103p205q20_33.242	33.242	Chr11	" 99,065,430 "	" 99,065,901 "	99	ID=AZ7/IA25_GS2D_41103p205q20_33.242.path1;Name=AZ7/IA25_GS2D_41103p205q20_33.242;Target=AZ7/IA25_GS2D_41103p205q20_33.242 26 498 -;Gap=M449 I1 M23;coverage=93.7;identity=99.8;matches=452;mismatches=0;indels=1;unknowns=20
AZ07	AZ07/IA25_c3_11416_42.53	42.53	Chr07	" 92,828,710 "	" 92,828,984 "	82	ID=AZ7/IA25_c3_11416_42.53.path1;Name=AZ7/IA25_c3_11416_42.53;Target=AZ7/IA25_c3_11416_42.53 6 281 +;Gap=M28 I1 M5 I1 M6 I1 M10 D1 M157 D1 M67;coverage=96.2;identity=82.7;matches=229;mismatches=43;indels=5;unknowns=1
AZ07	AZ07/IA25_c3_11416_42.53	42.53	Chr05	" 34,569,007 "	" 34,569,195 "	84	ID=AZ7/IA25_c3_11416_42.53.path2;Name=AZ7/IA25_c3_11416_42.53;Target=AZ7/IA25_c3_11416_42.53 89 281 +;Gap=M33 I3 M73 I1 M83;coverage=67.2;identity=84.9;matches=163;mismatches=25;indels=4;unknowns=1
AZ07	AZ07/IA25_c4_00602_48.375	48.375	Chr09	" 1,088,032 "	" 1,088,323 "	91	ID=AZ7/IA25_c4_00602_48.375.path1;Name=AZ7/IA25_c4_00602_48.375;Target=AZ7/IA25_c4_00602_48.375 1 295 +;Gap=M16 I1 M182 I2 M94;coverage=100.0;identity=91.2;matches=268;mismatches=23;indels=3;unknowns=1
AZ07	AZ07/IA25_c4_06564_49.032	49.032	Chr11	" 52,374,585 "	" 52,374,875 "	86	ID=AZ7/IA25_c4_06564_49.032.path1;Name=AZ7/IA25_c4_06564_49.032;Target=AZ7/IA25_c4_06564_49.032 4 301 +;Gap=M60 I6 M30 I2 M118 D1 M82;coverage=99.0;identity=86.6;matches=258;mismatches=31;indels=9;unknowns=1
AZ07	AZ07/IA25_c4_41050_49.641	49.641	Chr09	" 1,809,643 "	" 1,809,912 "	82	ID=AZ7/IA25_c4_41050_49.641.path1;Name=AZ7/IA25_c4_41050_49.641;Target=AZ7/IA25_c4_41050_49.641 12 277 +;Gap=M83 D1 M10 I1 M70 D4 M102;coverage=88.4;identity=82.9;matches=223;mismatches=40;indels=6;unknowns=2
AZ07	AZ07/IA25_GS1D_16639p444q33_60.862	60.862	Chr11	" 14,136,735 "	" 14,138,174 "	100	ID=AZ7/IA25_GS1D_16639p444q33_60.862.path1;Name=AZ7/IA25_GS1D_16639p444q33_60.862;Target=AZ7/IA25_GS1D_16639p444q33_60.862 1 568 +;Gap=M309 N870 M193 D3 M22 I1 M43;coverage=98.4;identity=99.3;matches=553;mismatches=0;indels=4;unknowns=14
AZ07	AZ07/IA25_GS2D_55913p499q20_88.934	88.934	Chr11	" 4,086,468 "	" 4,088,680 "	97	ID=AZ7/IA25_GS2D_55913p499q20_88.934.path1;Name=AZ7/IA25_GS2D_55913p499q20_88.934;Target=AZ7/IA25_GS2D_55913p499q20_88.934 1 600 +;Gap=M425 N1613 M175;coverage=99.8;identity=97.8;matches=573;mismatches=13;indels=0;unknowns=14
