# Generated by GMAP version 2018-07-04 using call:  gmap.avx2 -D . -d TM1 -t 150 -n 2 -f 4 QTLtargetseqsFixed.fasta							
LG	Marker	Position	Chr	Start	End	% ID	
AZ11/IA34	AZ11/IA34_GS2A_29117p378q3_25.273	25.273	A05	"16,149,415"	"16,150,013"	99	ID=AZ11/IA34_GS2A_29117p378q3_25.273.path2;Name=AZ11/IA34_GS2A_29117p378q3_25.273;Target=AZ11/IA34_GS2A_29117p378q3_25.273 1 601 +;Gap=M278 I2 M321;coverage=100.0;identity=99.7;matches=577;mismatches=0;indels=2;unknowns=22
							
AZ12/IA27-29	AZ12/IA27-29_EST2_29942_0_Cotton16_29942_01	0	A04	"589,358"	"589,425"	97	ID=AZ12/IA27-29_EST2_29942_0_Cotton16_29942_01.path1;Name=AZ12/IA27-29_EST2_29942_0_Cotton16_29942_01;Target=AZ12/IA27-29_EST2_29942_0_Cotton16_29942_01 5 72 -;Gap=M68;coverage=5.7;identity=97.1;matches=66;mismatches=2;indels=0;unknowns=0
AZ12/IA27-29	AZ12/IA27-29_EST2_29942_0_Cotton16_29942_01	0	D05	"63,761,721"	"63,764,922"	98	ID=AZ12/IA27-29_EST2_29942_0_Cotton16_29942_01.path2;Name=AZ12/IA27-29_EST2_29942_0_Cotton16_29942_01;Target=AZ12/IA27-29_EST2_29942_0_Cotton16_29942_01 73 1197 -;Gap=M74 D3 M274 N89 M113 N82 M81 N91 M53 N180 M109 N144 M60 N668 M83 N116 M155 N90 M54 N614 M69;coverage=94.0;identity=98.6;matches=1112;mismatches=13;indels=3;unknowns=0
AZ12/IA27-29	AZ12/IA27-29_c4_42998_30.067	30.067	D05	"57,189,137"	"57,189,422"	100	ID=AZ12/IA27-29_c4_42998_30.067.path1;Name=AZ12/IA27-29_c4_42998_30.067;Target=AZ12/IA27-29_c4_42998_30.067 1 286 +;Gap=M286;coverage=100.0;identity=100.0;matches=284;mismatches=0;indels=0;unknowns=2
AZ12/IA27-29	AZ12/IA27-29_c4_01235_40	40	D05	"49,495,035"	"49,495,334"	99	ID=AZ12/IA27-29_c4_01235_40.path1;Name=AZ12/IA27-29_c4_01235_40;Target=AZ12/IA27-29_c4_01235_40 1 301 -;Gap=M245 I1 M55;coverage=100.0;identity=99.7;matches=295;mismatches=0;indels=1;unknowns=5
AZ12/IA27-29	AZ12/IA27-29_c3_76821_49.245	49.245	D05	"32,622,237"	"32,622,537"	99	ID=AZ12/IA27-29_c3_76821_49.245.path1;Name=AZ12/IA27-29_c3_76821_49.245;Target=AZ12/IA27-29_c3_76821_49.245 1 301 +;Gap=M213 D1 M16 I1 M71;coverage=100.0;identity=99.3;matches=297;mismatches=0;indels=2;unknowns=3
AZ12/IA27-29	AZ12/IA27-29_EST1D_23510_01_60.653_Cotton16_23510_01	60.653	D05	"27,776,136"	"27,777,407"	100	ID=AZ12/IA27-29_EST1D_23510_01_60.653_Cotton16_23510_01.path1;Name=AZ12/IA27-29_EST1D_23510_01_60.653_Cotton16_23510_01;Target=AZ12/IA27-29_EST1D_23510_01_60.653_Cotton16_23510_01 2 1095 -;Gap=M236 N93 M130 N85 M728;coverage=99.9;identity=99.7;matches=1091;mismatches=3;indels=0;unknowns=0
AZ12/IA27-29	AZ12/IA27-29_GS2D_51331p736q38_65.472	65.472	D05	"26,606,552"	"26,608,567"	100	ID=AZ12/IA27-29_GS2D_51331p736q38_65.472.path1;Name=AZ12/IA27-29_GS2D_51331p736q38_65.472;Target=AZ12/IA27-29_GS2D_51331p736q38_65.472 5 540 -;Gap=M83 N90 M294 N1390 M159;coverage=94.4;identity=100.0;matches=523;mismatches=0;indels=0;unknowns=13
AZ12/IA27-29	AZ12/IA27-29_EST2D_20572_84.155_Cotton16_20572_01	84.155	D05	"21,529,953"	"21,531,019"	98	ID=AZ12/IA27-29_EST2D_20572_84.155_Cotton16_20572_01.path1;Name=AZ12/IA27-29_EST2D_20572_84.155_Cotton16_20572_01;Target=AZ12/IA27-29_EST2D_20572_84.155_Cotton16_20572_01 9 1075 -;Gap=M1067;coverage=99.3;identity=98.4;matches=1050;mismatches=17;indels=0;unknowns=0
AZ12/IA27-29	AZ12/IA27-29_c4_06690_90.535	90.535	D05	"18,861,200"	"18,861,498"	99	ID=AZ12/IA27-29_c4_06690_90.535.path1;Name=AZ12/IA27-29_c4_06690_90.535;Target=AZ12/IA27-29_c4_06690_90.535 1 301 -;Gap=M253 I2 M46;coverage=100.0;identity=99.3;matches=298;mismatches=0;indels=2;unknowns=1
AZ12/IA27-29	AZ12/IA27-29_GS1D_23044p418q14_100.379	100.379	A07	"3,412,072"	"3,412,163"	98	ID=AZ12/IA27-29_GS1D_23044p418q14_100.379.path1;Name=AZ12/IA27-29_GS1D_23044p418q14_100.379;Target=AZ12/IA27-29_GS1D_23044p418q14_100.379 1 92 +;Gap=M92;coverage=15.3;identity=98.9;matches=87;mismatches=1;indels=0;unknowns=4
AZ12/IA27-29	AZ12/IA27-29_GS1D_23044p418q14_100.379	100.379	D05	"15,583,214"	"15,584,166"	100	ID=AZ12/IA27-29_GS1D_23044p418q14_100.379.path2;Name=AZ12/IA27-29_GS1D_23044p418q14_100.379;Target=AZ12/IA27-29_GS1D_23044p418q14_100.379 93 601 -;Gap=M95 N292 M124 N152 M290;coverage=84.7;identity=100.0;matches=489;mismatches=0;indels=0;unknowns=20
AZ12/IA27-29	AZ12/IA27-29_c2_04598_103.23	103.23	D05	"14,681,025"	"14,681,324"	99	ID=AZ12/IA27-29_c2_04598_103.23.path1;Name=AZ12/IA27-29_c2_04598_103.23;Target=AZ12/IA27-29_c2_04598_103.23 1 301 -;Gap=M219 I1 M81;coverage=100.0;identity=99.7;matches=299;mismatches=0;indels=1;unknowns=1
AZ12/IA27-29	AZ12/IA27-29_c4_09461_130.404	130.404	D05	"9,093,352"	"9,093,652"	100	ID=AZ12/IA27-29_c4_09461_130.404.path1;Name=AZ12/IA27-29_c4_09461_130.404;Target=AZ12/IA27-29_c4_09461_130.404 1 301 +;Gap=M301;coverage=100.0;identity=100.0;matches=300;mismatches=0;indels=0;unknowns=1
AZ12/IA27-29	AZ12/IA27-29_c4_131801_156.219	156.219	D05	"2,523,538"	"2,523,833"	98	ID=AZ12/IA27-29_c4_131801_156.219.path1;Name=AZ12/IA27-29_c4_131801_156.219;Target=AZ12/IA27-29_c4_131801_156.219 1 301 -;Gap=M45 I1 M19 I1 M11 I1 M66 I1 M26 I1 M129;coverage=100.0;identity=98.3;matches=295;mismatches=0;indels=5;unknowns=1
							
AZ13/IA10	AZ13/IA10_c2_114573_0	0	D01	"18,196,452"	"18,196,747"	99	ID=AZ13/IA10_c2_114573_0.path1;Name=AZ13/IA10_c2_114573_0;Target=AZ13/IA10_c2_114573_0 1 297 +;Gap=M239 I1 M57;coverage=100.0;identity=99.7;matches=295;mismatches=0;indels=1;unknowns=1
AZ13/IA10	AZ13/IA10_ck_03349_2.391	2.391	D01	"24,549,133"	"24,549,433"	100	ID=AZ13/IA10_ck_03349_2.391.path1;Name=AZ13/IA10_ck_03349_2.391;Target=AZ13/IA10_ck_03349_2.391 1 301 +;Gap=M301;coverage=100.0;identity=100.0;matches=300;mismatches=0;indels=0;unknowns=1
AZ13/IA10	AZ13/IA10_ck_44780_2.771	2.771	D01	"22,818,651"	"22,818,948"	98	ID=AZ13/IA10_ck_44780_2.771.path1;Name=AZ13/IA10_ck_44780_2.771;Target=AZ13/IA10_ck_44780_2.771 1 301 -;Gap=M65 I1 M8 I1 M43 I1 M182;coverage=100.0;identity=99.0;matches=296;mismatches=0;indels=3;unknowns=2
AZ13/IA10	AZ13/IA10_GS1D_42198p123q14_3.45	3.45	D01	"18,992,271"	"18,992,732"	100	ID=AZ13/IA10_GS1D_42198p123q14_3.45.path1;Name=AZ13/IA10_GS1D_42198p123q14_3.45;Target=AZ13/IA10_GS1D_42198p123q14_3.45 56 423 -;Gap=M346 N94 M22;coverage=87.0;identity=99.7;matches=351;mismatches=1;indels=0;unknowns=16
AZ13/IA10	AZ13/IA10_GS1D_42198p123q14_3.45	3.45	A01	"25,336,723"	"25,337,195"	100	ID=AZ13/IA10_GS1D_42198p123q14_3.45.path2;Name=AZ13/IA10_GS1D_42198p123q14_3.45;Target=AZ13/IA10_GS1D_42198p123q14_3.45 52 423 -;Gap=M62 D6 M8 I2 M81 D3 M197 N94 M22;coverage=87.9;identity=97.0;matches=354;mismatches=0;indels=11;unknowns=16
AZ13/IA10	AZ13/IA10_c4_68957_9.246	9.246	D01	"23,137,072"	"23,137,365"	99	ID=AZ13/IA10_c4_68957_9.246.path1;Name=AZ13/IA10_c4_68957_9.246;Target=AZ13/IA10_c4_68957_9.246 1 296 +;Gap=M91 I1 M123 I1 M80;coverage=100.0;identity=99.3;matches=293;mismatches=0;indels=2;unknowns=1
AZ13/IA10	AZ13/IA10_c4_09583_11.732	11.732	D01	"48,538,290"	"48,538,574"	98	ID=AZ13/IA10_c4_09583_11.732.path1;Name=AZ13/IA10_c4_09583_11.732;Target=AZ13/IA10_c4_09583_11.732 4 290 -;Gap=M240 I1 M22 I1 M23;coverage=99.0;identity=98.9;matches=272;mismatches=1;indels=2;unknowns=12
